raison_sociale;ville;mobile;tel;email;siteweb
COMFORDEV SARL;Abidjan;58003002;22499501;info@comfordev.com;https://comfordev.com/
"Global Dreams &amp; Co";Abidjan;52919153;59878779;paiement@waoo.ci;https://www.waoo.ci/
PremierBet Mali;Bamako;92784754;44904040;b.matty@editec.co;http://premierbet.ml
Prestige Hotel;Bonoua;03805575;03805575;booking@prestige-hotel.ca;http://www.prestige-hotel.ca/
SARL;Abidjan;09524898;09524898;jmedesign7@gmail.com;https://douhot.com
Biliiv;Abidjan;58586611;22014808;kbkbmc@yahoo.fr;http://www.biliiv.com
Royale des Jeux du Cameroun;Douala;650105998;233424814;a.qader@editec.co;http://www.premierbet.com
WORLDWIDE HELPING;YAOUNDE;+237699689344;+237699689344;gustave.mentz@gmail.com;https://www.worldwidehelping.com
ONG FONDATION COEUR D AMOUR DU CHRIST;ABIDJAN;03321107;23532739;soinsdesorphelins.veuves7@gmail.com;http://www.carefororphansandwidowsafrica.com
Cinetpay Test Mali;Bamako;64890007;20219005;marcel.dabou@cinetpay.com;http://www.cinetpay.com
YOUNG AFRICAN DEVELOPER;ABIDJAN;59615276;77101308;shop@youngafricandeveloper.com;http://shop.youngafricandeveloper.com
E-School;Abidjan;46069169;46069169;sianinkanenock@gmail.com;http://group-sia.com
Syknetwok;Abidjan;48153929;48153929;bidipaulpascal@gmail.com;http://syknetwork.ci
Business ;Abidjan ;53724633;53724633;nzing028@gmail.com;http://www.cinetpay.com
JEVEUX.CI;ABIDJAN;+225407484483;07484483;cheick@jeveux.ci;http://www.jeveux.ci
nzi.com;abidjan;53724633;53724633;nzingoran53@gmail.com;http://cinetpay.com
LIBRAIRIE SPIRITUELLE O.M;Abidjan;58984966;22010204;spirituelom@gmail.com;http://www.om.ci
BIOBOX;Abidjan;57792267;57792267;biobox.ci@gmail.com;http://www.biobox.ci
DADDOH INTERMEDIATION;NIAMEY;92045224;92045224;agri.niger@yahoo.com;https://agriniger.com
AHOKO;Abidjan;88414188;22497401;ahoko.info@gmail.com;http://www.ahoko.net
EMERITCO;Abidjan ;87854497;89845009;emeritco@gmail.com;http://www.e-gombo.com
GRAMICA CI;Abidjan;08662247;08662247;contact@mylovelyblackbox.com;http://gramica-africa.com/
Vename ;Abidjan ;02844610;02844610;toazanahi@gmail.com;http://www.cinetpay.com
Dantos Group;Abidjan;0788211113;0788211113;bonkoungou.anita@gmail.com;http://colistravel.com/
Vename ;Abidjan ;02844610;02844610;kanachristine407@gmail.com;http://cinetpay.com
hamadiz;bagnolet;0609876507;609876507;cheicksophie@gmail.com;https://hamadiz.com/
Lctec;Sint-Kruis ( Bruges);460214125;460214125;laurentculliford4@gmail.com;http://www.lctec.be/fr
Mano;Abidjan ;53724633;53724633;manobuness@gmail.com;http://www.cinetpay.com
Soum;Abidjan ;58279761;58279761;soumagourousoum@gmail.com;http://www.cinetpay.com
"VASES D&#039;HONNEUR";Abidjan;08352212;08352212;dogad.dogoui@vasesdhonneur.info;http://www.vasesdhonneur.org
markegest;abidjan;07798860;21355184;markegest@yahoo.fr;http://proteinaci.ci
musicbox;Abidjan;41263057;41263057;musicboxx.ivoire@gmail.com;http://musicbox-ci.com/
Interactive Object;Casablanca;661455488;661455488;contact@interactive-object.com;http://interactive-object.com
kotilog;douala;673372544;673372544;yockbayock@yahoo.fr;http://www.qaanta.cm
Ypmth;Abidjan ;69321152;69321152;jumioryapo123@gmail.com;http://www.cinetpay.com
"Bee&#039;s";Abidjan;77081244;77081244;info@beesaccessoires.com;https://beesaccessoires.com
BUSINESS;Abidjan ;69321152;69321152;sagessedeuxfois666@gmail.com;http://www.cinetpay.com
Gty;Abidjan ;74248444;75248444;restaurantmatin225@gmail.com;http://www.cinetpay.com
Vename ;Abidjan ;53127056;53127056;willdepari225@gmail.com;http://www.cinetpay.com
Ludwin CI ;"cote d&#039;ivoire";29507001;29507001;cinetpay-ci@sports4africa.com;https://sports4africa.org
NKKP STORE;Abidjan;40777855;22467222;nkkpstore@gmail.com;http://nkkpstore.com
afrikahostinf;goma;972093330;972093330;c.hodari@live.fr;http://afrikahosting.net
ANABBLA COMPUTER TECHNOLOGY SARL;ABIDJAN;08032043;08032043;anabbla.ci@gmail.com;http://anabbla.ci@gmail.com
LABOUKKA GROUPE;abidjan;49374947;49374947;assouahugues@gmail.com;http://test.impactafric.com/
GLOBAL LINK ET SERVICES;SAN-PEDRO;02675113;34711728;gnonso@gmail.com;http://global-linksp.com
KABALA HORIZON;San Pedro;07167623;07167623;kabala01horizon@hotmail.fr;http://kabala.com
Prestas Solutions;Cameroun;+216 29 507 001;+216 29 507 001;cinetpay_cm@sports4africa.com;https://cameroun.sports4africa.com
Wattandoh;Abidjan;09713728;45440040;infos@wattandoh.com;https://www.wattandoh.com
AIGLE INTERNATIONAL;ABIDJAN;48948459;48948459;klvivien.koffi@internetwifici.com;http://www.internetwifici.com
JOURDAIN INFORMATIQUE;Abidjan;09539805;09539805;lejourdaininformatique@gmail.com;http://kaswa.ml
Malocaz;abidjan;49426353;+22549426353;hervedadelle@gmail.com;http://www.malocaz.com
Cover Design;Abidjan;04040010;22002695;zannou.coverdesign@gmail.com;http://printxi.ci
Baobabdeal.com;Scarborough;4168268997;4168268997;guy.armand.koffi@gmail.com;https://baobabdeal.com
Ecran du Peuple;Seme Podji;97936317;97936317;magloiredesucre@ecrandupeuple.org;https://ecrandupeuple.org
EB Company;Abidjan;03060641;75676649;amonsergeolivier@gmail.com;http://eb-cash.com
EGAN GROUPE;Abidjan;01625882;06718075;egangroupe@gmail.com;http://intimaseduction.com
SARL;"Yaound&eacute;";695880663;695589177;infos@virmocameroun.com;https://www.virmocameroun.com
Foongon Corporation SAS;Douala;695468791;695468791;foko.thierry@foongon.com;http://katika.fun
Fondation Félix Houphouët-Boigny pour la recherche de la paix;Yamoussoukro;08347830;30643104;fdjamara@fondation-fhb.org;www.fondation-fhb.org
PLANETE PAIX;Abidjan;03212865;48138304;info@planetepaix.org;https://www.planetepaix.org
Hologram Identification Services;Kinshasa;841060094;841060094;shamba.nathan@hologram.cd;http://www.hologram.cd
SICSS;ABIDJAN;778808080;21267104;t_bahif@yahoo.fr;http://sicss.net
LSFA;Tunis;290507001;29507001;cinetpay_sen@sports4africa.com;https://www.sports4africa.com
Stylbebe;Abidjan;48553520;48553520;hello@stylbebe.com;http://stylbebe.com
"LILY BLACK (e-commerce service provider and a weekly game of skill, prize competition creator)";London;1618184889;1618184889;nellie@lilyblack.co.uk;http://www.lilyblack.co.uk
IvoireMatrix 225;Abidjan;71565670;71565670;ivoirematrix225@gmail.com;http://ivoirematix.com
TOUBO KOUNSE YANICK;Abidjan;78264623;40504663;ky.toubo@gmail.com;http://www.notijob.com
LS4A;LS4A;29507001;29507001;cinetpay-congo@sports4africa.com;https://www.sports4africa.com
MAYEAGENCY SARL;ABIDJAN;07723713;07723713;adams@mayeagency.com;http://www.yabara.ci
IVOIR TRAVEL GROUP;ABIDJAN;84041834;84041834;ivoirtravelgroup@outlook.com;http://www.traveltoivorycoast.com
Groupe Makyneli;Abidjan;08017183;+22508017183;chic_en_meches@outlook.fr;http://chicenmeches.ci
2A Editions;abidjan;49900000;49900000;digital@2aeditions-ci.com;https://espritmagazine-ci.com/
TIINBO;Ouagadougou;75968742;25418914;daoudailboudo@gmail.com;https://www.tiinbo.com
EGLISE DE DIEU DE LA TRANSPARENCE;ABIDJAN;84041834;84041834;djiezionlr@gmail.com;http://sepeanse.com/church/
sika finance;abidjan;09353737;22412015;aggrekd@gmail.com;http://www.sikafinance.com/
CENTRE THEMIS OHADA;Abidjan;07692032;22429734;kouassidante@gmail.com;http://www.cabinet-themis.ci
"CinetPay Scolarit&eacute;";Abidjan;09818479;09818479;scolarite@cinetpay.com;http://scolarite.cinetpay.com
SCI Saminna;Abidjan;07104446;68529070;info@saminna.com;http://saminna.com
MOON DRIVE;ABIDJAN;08706205;08706205;mounacoulibaly24@gmail.com;http://www.moondriveci.com
EVEREST CONSULTING;Abidjan;53100312;53100312;onjike@everest-consulting.org;http://everest-consulting.org
E-BUSINESS SENEGAL SARL (AFRIBABA SARL);Douala;+221 77 345 82 22;+237 656901110;billing@temgo.me;http://www.afribaba.com
CyberSpector;Cotonou;66816992;66816992;paiement@cyberspector.com;http://cyberspector.com
Agence Bulles;Abidjan;07268170;07268170;guysilvere@gmail.com;http://agencebulles.net
TerraPay;The Hague;203690761;203690761;terrapaytest@cinetpay.com;https://terrapay.com
ONG;Abidjan;48321532;23460547;infos@procreapharma.com;https://procreapharma.com
COMPUTEC SA;Abidjan;09855358;22528300;hubertodev@gmail.com;http://www.computec.ci/
suitdesk;Douala;674431108;674431108;tchoua86@gmail.com;http://www.suitdesk.com
ASMA GRUNDER;ABIDJAN;04852873;04852873;victoiremansagnizako@gmail.com;https://www.clic-voyage.com
Money Transfer;Ebene;9148553322;9148553322;operations@terrapay.com;https://www.terrapay.com/
DEPARTEMENT DE GEOGRAPHIE;ABIDJAN;08280600;08280600;tourema@yahoo.fr;http://igt-dgeo.ci
IVOIRE HOME DESIGN;"C&ocirc;te d&#039;ivoire";79683024;79683024;ivoirehomedesign2019@gmail.com;http://ivoire-home-design.com
GM GLOBAL MARKET;Abidjan;08667107;08667107;gmglobalmarketci@gmail.com;http://www.gmglobalmarket.com
Daret;casablanca;0650579893;0650579893;mehdi.bouih@essec.edu;http://www.daret.ma
MERICX CAPITAL;Abidjan;05955140;22004026;christian.trobia@mericxcapital.com;https://www.mericxcapital.com
GIC PROMOTE;Douala;679958462;233475059;promote@gic.cm;http://www.gic.cm
Moja Wallet;Abidjan;85857694;64460591;jeanclaude.gouesse@keeram.net;http://mojaride.net
SYNERGIE TECHNOLOGY GROUP (SYTEG);Abidjan;01000011;08369991;baba.diomande@yahoo.fr;http://www.synergiegroup.ci
"VETECH&amp;DESIGN";ABIDJAN;49989669;21000312;pay@vetechdesign.net;https://vetechdesign.net
Mtick SN SAS ;Dakar;784623078;784623078;info@mtick.ci;https://event.mtick.sn
KENE COM;Abidjan;09773204;09773204;kene.desther@gmail.com;http://www.kenecom.ci
Cameroonsexglobe ;yaounde;675321045;690623945;hello@cameroonsexglobe.com;http://www.cameroonsexgolbe.com
test Cinetpay;Abidjan;07319828;+225 07319828;rayansegui@gmail.com;http://cinetpay.com
JEA_COMMUNICATION;Abidjan;22481822;08877964;supmagci@gmail.com;http://www.supmagci.com
ONG REFUGE DES ENFANTS;BINGERVILLE;02319932;87785724;ekoffilambert@gmail.com;http://www.ongrefugedesenfants.com
Ministère Messages de Vie;Abidjan;47637261;22418345;paiement@messagesdevie.org;http://www.messagesdevie.org
"AGIOS Expertise &amp; Finance";"Cocody, Abidjan, Cote D&#039;Ivoire";48487124;22413938;infoagiosexpertise@gmail.com;https://investirensemble.ci/
SANS FRONTIERE PROPERTIES LLC  (SFP);ABIDJAN;88401012;88401012;mbambi4@gmail.com;http://www.sansfp.com
African Payment Gateway;Dakar;773790423;765503456;cheikhouna.diop@afripayway.com;http://www.afripayway.com/
SAHAM DTQ TEST;Abidjan;08007731;20253600;wilfried.coffie@sahamassurance.com;http://sahamassurance.ci
CD9 CONCEPT;Abidjan;07829898;23531920;contact@toutixi.com;https://www.toutixi.com
AbidjanDirect;Abidjan;+225 47093679;+225 ;ib_forty@live.fr;http://abidjandirect.ci
Prudential Belife Insurance SA;Abidjan;07512993;20311470;alain.alla@prubelife.com;http://prubelife.com
PS SERVICES;Abidjan;+225 78283744;+225 78283744;ps.services.abidjan@gmail.com;http://ps-entreprise.com/
ivoire-pay;Abidjan;77040970;22496670;thierrykouassi2018@outlook.com;http://www.ivoirpay.net
electroouat;"Bouak&eacute;";07658114;07658114;electroouat@yahoo.fr;http://electroouatavicabo.wordpress.com
MKS SOFT TECHNOLOGIES;Abidjan;75666207;75666207;mkstechsoft@gmail.com;https://mkstechsoft.com
AFRIMA TECHNOLOGIES;Yamoussoukro;01889602;01889602;paiement@afrimatk.com;http://www.afrimatk.com
Le Professeur 225 (DOCUMENTS PAS AU COMPLET);Bouake;09078712;09078712;leprofesseur.ci@gmail.com;http://www.monprofesseur225.com
VERYGOOD 10/10;ABIDJAN;08099642;02207454;verygood10sur10@gmail.com;http://www.verygoodspeaker.com
GLT SERVICES;ABIDJAN;59245662;52274846;gltservices.info@gmail.com;http://www.joyceapp.net
BESTIC GROUP SARL;Abidjan;57682167;57682167;besticgroup@gmail.com;www.opencours.ci
UNION DES TRANSPORTS DE BOUAKE;ABIDJAN;06182939;21283326;hilaire.nzue@utbci.net;http://www.utbci.net
AGUIMA WEB AGENCY;Abidjan ;59257030;22542583;contact@aguimaweb.com;https://www.eticketgo.com/
MM CORPORATION;"Libreville (Libreville, Gabon)";07586538;07586538;contact@univga.ga;https://univga-edu.ga
 ARA GROUP;Abidjan cocody ;97143624;+22521779359;aratransport2019@yahoo.com;http://www.aratransport.com
CORPORATION 7 SARL;Abidjan;06176760;06176760;alaintiemon@gmail.com;http://axeberg.ci
ALERTE FONCIER;ABIDJAN;03272699;22435188;kassoliver1234@gmail.com;http://alertefonci.ci
AE Tech Consulting;Abidjan;08841038;08841038;ehoumanaudrey@gmail.com;https://ae-techconsulting.com/
S.A.R.L;Abidjan;02255070;79800824;sertratech@gmail.com;http://www.sertratech.com
BILL'HUB Business Solutions;Abidjan;+225 06350850;+225 22004402;campus@bbsafrique.com;http://bbscampus.com
ETS GWASSOU;Abidjan;47919609;47919609;precht04@gmail.com;https://kiyele.com
Global Agriculture ;Abidjan;08101191;03034343;michel.yao@myglobopp.com;http://myglobopp.com
STARKA LIMITED;Limassol;+357 791029830;+357 2222030;income@1xbet.com;http://1xbet.com
"Institut Africain des M&eacute;dias";Abidjan;78141111;78141111;gueboisrael@gmail.com;https://iam-abidjan.ci/
TRUST TECHNOLOGIES INNOVATION;Abidjan Riviera Abata;88650143;88650143;dev.admin@trustinnotech.agency;https://www.trustinnotech.agency/
BOUAKE BEVERAGE LIMITED;Bouake;79131312;79131312;yayakof45@gmail.com;http://malabro.net
BIGWIN;yaounde;694751162;694751162;tchebobernard01@gmail.com;https://www.bigwinner.eu
HopeLand;Honk Kong;7405987627;447405987627;siroccofinance@gmail.com;http://siroccopay.com
Timite and Sons Beauty Supply;Abidjan;07191896;22411682;timiteandsons@hotmail.com;http://www.timiteandsons.com
TRansaction financière;ABIDJAN;+225 45021654;+225 09096068;kkrudolph@yahoo.fr;http://www.afrisofts.net
Bridge Workforce Development Consulting;Abidjan;87037661;+22587037661;bridge@jeanmarcmercy.com;http://www.jeanmarcmercy.com
Florealle;Abidjan;87657104;48608390;paiement@florealle.com;https://florealle.com
COULLAND TS;ABIDJAN;+225 08033842;+225 01112570;coullandpay@gmail.com;http://www.coullandwifi.com
SUCCES COMMUNICATIONS SARL;ABIDJAN;+225 01538483;+225 87080874;doua1960@yahoo.fr;http://www.misswebci.com
wonasarl ;Abidjan;78817445;09333843;contact@vitrineenligne.com;http://www.vitrineenligne.com
African Payment Gateway;Dakar;774191275;774191275;operations@afripayway.com;http://www.afripayway.com
SAYCOM SARL;Abidjan;07181092;20386106;saycomsarl@gmail.com;https://macartevisa.com/
AYAEL ENTREPRISE;ABIDJAN;07170833;07178033;ayaelent@gmail.com;http://ayael-entreprise.com
"AFRIKMAG CÔTE D&#39;IVOIRE";Abidjan;+225 58 16 09 04;+225 58 16 09 04;finance@afrikmag.com;http://www.afrikmag.com
"VENTE D&#039;INFORMATIONS SCIENTIFIQUES DESTIN&Eacute;ES AUX PHARMACIE ET AUX ETUDIANTS EN PHARMACIE";ABIDJAN;08592565;08592565;pharmaconsults.contacts@gmail.com;http://www.pharma-consults.com
IBEMY;Cocody les 2 plateaux 7e Tranche ;58646472;58646472;mbprestige@icloud.com;http://www.ibemy.shop
"KOBEHTECH C&Ocirc;TE D&#039;IVOIRE";ABIDJAN;02919113;02919113;payroll@kobehtech-ci.com;http://www.kobehtech-ci.com
"RICHARD&#039;S RELATION";ABIDJAN;59949131;59949131;richardsrelation19@gmail.com;http://www.richardsrelation.com
SIPPEC;ABIDJAN;88884040;23536464;bourgimohamed@sippec.ci;http://www.sippec.ci
Deedo Development SUARL;Dakar;645710638;338241888;distribution@deedo.io;http://deedo.io/distribution
SUGU SAS;DAKAR;771178595;338255981;yam@ouicarry.com;http://WWW.OUICARRY.COM
SARL ;YOPOUGON / ABIDJAN ;07960049;07960049;info.bibliosave@gmail.com;https://www.bibliosave.com/#
TINITZ;Abidjan;59964719;21744361;yves.blanchard@tinitz.com;www.pressecotedivoire.ci
BELIEVE IN MOBILE EXPERIENCE;Abidjan;47452891;74697800;numipix20@gmail.com;http://www.numipix.pro
SARL;Abidjan;57038162;21562017;contact@ayooka.com;https://www.ayooka.ci
MEDBYONE;Abidjan;0698466945;97070541;joel@medbyone.com;http://www.medbyone.com
"EDEN FOOD&#039;S COMPANY";ABIDJAN;58884114;22443543;frana9@gmail.com;http://cajouprosperity.com
Fink Solutions inc.;Montreal;5148846632;5148846632;patrick@finksolutions.ca;http://www.pesabooks.com
ONECI - RNPP;Abidjan;22112211;22112211;webmaster@rnpp.ci;http://rnpp.ci
Ned Interface Anti-fraude(NedCertify);Ottawa;6132402133;6132402133;info@nedcertify.com;http://www.nedcertify.com
"IMAG&#039;IN REFLET";Abidjan;07157785;08274627;nzian_nbt@hotmail.com;https://www.imagin-reflet.com/
ALTER ECO;Abidjan;+225 03198834;+225 22004599;gueneliliane@gmail.com;http://www.altereco-dev.com
FINANCE MOBILE (POUR TESTS);ACCRA;+233243346046;8624445477;richduodu@gmail.com;http://financemobilesuite.com
SITE INTERNET TOP VISION (SITV);Abidjan;07943002;20230507;ivoirevision7@gmail.com;https://www.ivoirevision.com
CONCILIA SARL;ABIDJAN;07479342;86840639;concilia.sarl@gmail.com;http://www.cas-pratiques.com
ABOU DAVY ;Abidjan ;59136470;79012279;viateurofficiel@gmail.com;https://aboudavyofficiel.com
Sayele Guinee;Conakry;622334100;622334100;contact@sayelegroup.com;https://sayelegroup.com
"JULAYA COTE D&#39;IVOIRE";Ouagadougou;+225 78868544;+225 78868544;mleopoldie@julaya.co;https://www.julaya.co
DIVINE ENTREPRISE;Abidjan;41883223;21268161;infos@divinestyleshop.com;http://divinestyleshop.com
PAY AFRICA Inc.;"Trois Rivieres, QC";4036087407;8198032185;ly.ngadi@payafrica.ca;http://snmpay.com
JURISINTELLIGENCE Sarl;Abidjan;07414555;07414555;ekoupaul@gmail.com;http://conduireencotedivoire.com
A2LC;ABIDJAN;79009499;79009499;matchimonatchade@gmail.com;http://www.a2lc-ci.com
Webelieve-Group;Abidjan;40155924;40155924;infos@webelieve-group.com;http://webelieve-group.com/
"Vivo Energy Côte-d&#39;Ivoire  - AIRTIME";ABIDJAN;01000951;21752727;jean-paul.nobou@vivoenergy.com;http://www.vivoenergy.com
ESSNNA SERVICES SARL;Douala;678195368;678195368;kevin_essama@hotmail.com;http://kessama.ch
ETS TROHOU SARL;Abidjan ;45763097;45763097;direction@etstsarl.com;https://etstsarl.com
AFRICAN WEB COMPANY CI( AWECO CI);Abidjan;09353737;22412015;danielaggre@sikafinance.com;http://www.sikafinance.com
IZY SKILLS;ABIDJAN;07180668;07180668;stephanie@izyskills.com;http://izyskills.com
PLATE-FORME DES ORGANISATIONS DE JEUNESSE DE TOULEPLEU (POJeT) ;Toulepleu ;58441499;06886746;plateformejeunessetlp@gmail.com;https://pojet.org
CBA TRAINING ;Douala;650103540;670910101;alexiskamdjou@gmail.com;http://www.cba.training
OXAHOST SARL U;Abidjan;27666788;70296830;tarek@oxahost.com;https://www.oxahost.ci
Alliance Multimédia;Abidjan;+225 01857515;+225 22423108;dkmorokro@gmail.com;http://www.alliance-conseils.com
Expertus;Dakar;777015250;777015250;mado892009@hotmail.fr;http://www.rima-ceramicmobili.com
AUTODEAL;ABIDJAN;67331434;67331434;djangonearistide@gmail.com;http://autodeal.ci
SISQ;ABIDJAN;+225 06165611;+225 20210582;sisqliva@gmail.com;http://www.sisq-ci.blogspot.com
IBUMERANG;Abidjan;09718805;09718805;support@ibuumerang.ci;http://www.ibuumerang.com
Yodatatech;Abidjan;03933677;03933677;kalifamale@yodatatech.com;http://www.yodatatech.com
ACTION POUR LA RENAISSANCE DU CENTRE  ( ARC );ABIDJAN;47010967;47010967;amoineveline@gmail.com;https://www.arc-nwanyo.org/fr/
BUSINESS ROOM;Abidjan;+225 09600003;+225 09600003;momondaho@gmail.com;http://businessroom.ci
SARL;Abidjan;58063964;21246746;service.communication@maddis.ci;http://maddis.ci/
ehuya media;Abidjan;08375155;+22508375155;jpndri@gmail.com;https://mabotro.com
COMMUNICATE SARL;Abidjan;48752715;48752715;yapirodrigue01@gmail.com;http://www.vision-totale.com
Innove Crea;Abidjan;49573008;49573008;yoffowilliam@gmail.com;http://innovecrea.com
TEDIYRA Group;"Bouak&eacute;";+225 08048080;+225 31630969;alain.trahie@tediyra.com;http://www.tediyra.com
Talium;Strasbourg;0619794099;0619794099;test-talium@cinetpay.com;https://talium.fr/
"NK&amp;CO";ABIDJAN;47747472;22508388;toussaintoka@gmail.com;http://nkcorporate-ci.com
Yog Beauty Group;Abidjan;88590288;22542016;charlotte@cerise.ci;http://cerise.ci
AZALAI;BAMAKO;07483988;+22320221201;ben.bamba@azalaihotels.com;http://www.azalai.com
Agribusiness Academy;Bafia;694244030;650681102;sekoutcha.com@gmail.com;https://sekoutcha.com
CPC Kingdom;Chandigarh;8146382716;8146382716;r.gougla@cpckingdom.com;https://cpckingdom.com
Agence Digitale Deelynx;Douala;677843803;677843803;stephanenoumedem@gmail.com;http://www.deelynx.com
"UNION DES ONG DE COTE D&#039;IVOIRE";ABIDJAN;72727265;72727265;viv.kouassi@gmail.com;http://www.uoci.ci
DOUDCLIC;Abidjan;+225 57148957;+225 22526886;adaijc2013@gmail.com;https://www.smsschools.net
real time sarl;Douala;697530135;697530135;signe.maxime@bitkap.net;http://bitkap.net
SIXIEME SENS;ABIDJAN;44017979;21265240;marc@delaboissiere.com;https://www.agence6sens.fr/
CERCO COTE D'IVOIRE;ABIDJAN;+225 58882597;+225 22418140;a.capo@groupecerco.com;http://www.groupecerco.com
"WIN GROIP-COTE D&#039;IVOIRE";ABIDJAN;57024292;07814914;mondiplomenet@gmail.com;http://mondiplome.net
IAFRIQUE;ABIDJAN;+225 07055345;+225 20001327;dsoro@iafrique.org;http://www.izishop.ci
Scool Is Ci;Abidjan;84067321;84067321;lionnel@scoolis.net;http://scoolis.net
ORIGAMI;ABIDJAN;+225 04561010;+225 20212389;andre.debleza@origami-ci.com;http://www.origami-ci.com
ARC-EN-CIEL;Douala;699969373;699969373;fotsoeric@yahoo.fr;http://www.cashtv.com
Heylo;Douala;654200000;654200000;heylosas@gmail.com;https://heylo.cm
Ivoirshoo;Abidjan;09138907;09138907;kra.olivier@yahoo.com;http://ivoire.ci
OLYMPE;Abidjan;+225 07154444;+225 21212800;linfodrome@gmail.com;http://www.linfodrome.com
CELPAID FINANCES SA;Abidjan;07225087;07225087;ouattara@celpaid.com;http://celpaidfinances.com
Ste Amoaman Sarl;Abidjan;88652585;88652585;damoakon@amoaman.com;http://www.amoaman.com
Holding Alioune Badara Thiane;Dakar;775391072;775391072;tourealas@gmail.com;http://www.aogsn.com
EMONEY-CI;ABIDJAN;48952608;48952608;emoneycigroup@gmail.com;https://www.magic-recharge.com/
"SANLISHOP - LA POSTE C&Ocirc;TE D&#039;IVOIRE";Abidjan;48866861;21001754;simon.kouame@laposte.ci;https://laposte.ci.post
AZUPHI MARKETING INVEST;Abidjan;40013555;40013555;konanphilippem@gmail.com;http://www.beyondcotedivoiredata.org
BET MOBILE MONEY SARL;Yaounde;+237 676674594;+237 676674594;betmobilemoney@gmail.com;https://www.betmomo.com
ADN ;ABIDJAN;75009982;22435923;qkintus@gmail.com;http://adn.ci
MON ARTISAN SAS;Abidjan;0759065608;0586862826;kevinsesse@monartisan.ci;http://www.monartisan.ci
good2go;abidjan;3022528485;3022528485;toureab1213@gmail.com;http://good2go.com
Douanes;Abidjan;07895086;07895086;lesdouanes-prod@cinetpay.com;https://douanes.ci
Babi-Pronos;Abidjan ;752426919;08204274;babi.pronos225@gmail.com;https://www.facebook.com/babi.pronos/?modal=admin_todo_tour
3DEV-GROUP;Abidjan;+225 59717858;+225 59715858;kmaxwilliams43@gmail.com;http://3dev.ci
AGENCE DE SPORT CONSULTING INTERNATIONAL;ABIDJAN;+225 01608862;+225 47663676;ikouassmichel@gmail.com;http://www.bestarsoccer.com
ETS Youansi ET Fils;"Yaound&eacute;";695257161;695257161;gervais.siewe@chat-yamo.com;https://www.facebook.com/Openeconomics-1455823361233527/
Willan Technologies;Columbus;6146323528;6144681238;wmuiche@willantech.com;https://willantech.com
Edition Al Qalam;Abidjan;07446775;07446775;devyeb@yahoo.fr;http://livres.plumelibre.net/
"Communaut&eacute; M&egrave;re du Divin Amour";Abidjan;77304963;22490897;cmdacmdaonlinepay@gmail.com;http://www.vision2000plus.net
PROMOTIEL;abidjan;+225 42784249;+225 42784249;matine2015@gmail.com;http://promotiel.com
Mbaoua Group ;Abidjan;87750665;87750665;contact@zencey.com;http://zencey.com
ARMAC ASSURANCES;Abidjan;07051675;21283985;s.kouakou@armac-assurances.com;http://armac-assurances.com
SICOGI;Abidjan;08713334;20003626;kolo.toure@sicogi.ci;http://www.sicogi.ci
INVESTIS;Yaounde;697652052;697652052;leandredesimo@gmail.com;http://winwin-market.net
EUCALYPTUS;Abidjan;08228431;08228431;jgoude@myprodimages.com;http://www.eucalyptus.ci
MANIFICAT;DAKAR;768305458;339508656;nguessan@manificat.net;http://www.manifica.net
DigiMix;Abidjan;778211384;22504885;eugene.bosson@digimix.tech;https://digimix.tech
XIKKA SA;ABIDJAN;79343755;42864848;distribution@xikka.net;https://www.xikka.net
CHEZ MOUSSOU Sarl;Casablanca;+212 658573942;+212 522909917;mrmoussou.r@gmail.com;https://www.chezmoussou-ci.com
LEVI GROUPE;Abidjan;07938144;22529680;assijeanlevi@gmail.com;http://www.distbook.com
"Bellel Softs &amp; Networks Company (BSNC)";Bamako;79234728;51515043;kdiabate@bsncmali.com;https://bellelshop.bsncmali.com
SIMTCI;Abidjan;09241128;22524053;1gaoussououattara@gmail.com;http://www.simtci.com
CEVALD;Abidjan;47345375;22015020;contact@proexpertonline.com;http://www.proexpertonline.com
MINISTERE DU COMMERCE - PROD;Abidjan;09000000;+225 000000;paiement@commerce.gouv.ci;http://ministere-commerce.ci/
MINISTERE DU COMMERCE - TEST;Abidjan;01020304;01020304;paiement-test@commerce.gouv.ci;https://ministere-commerce.ci
LITEN;Abidjan;56718827;67474702;bayomock@hotmail.com;http://www.liten3c.com
PROCLAMATION AUTHENTIQUE;Abidjan;07924177;07924177;proclamationauthentique@gmail.com;http://www.prophetearnaud.com
DGCI;Abidjan;01173604;225478596;sigsamapp@gmail.com;http://www.google.ci
Transtelecom;Abidjan;07398118;07398118;eli.konan@gmail.com;http://transtelecom.ci
HERMANN CAUMAUETH TECHNOLOGIES;Abidjan;47203481;47203481;caumaueth.ho@gmail.com;http://www.lenecrologue.ci
PACIFIK TECH;ABIDJAN;40723535;40723535;nkone456@gmail.com;http://pacifik-tech.com/
asher oil services;Abidjan;07748772;07748772;asher.oil.services@gmail.com;http://gnico-hair.com
"Libert&eacute; Financi&egrave;re Solutions";Abidjan;77565108;77565108;contact@libertefinancieresolutions.com;https://libertefinancieresolutions.com/
AYOKAFRICA SARL;Abidjan;77363366;77363366;contact@ayokafrica.com;https://www.ayokafrica.com/
LUNE GROUPE;Abidjan;08522289;42103131;amanfulgence@gmail.com;http://lunegroupe.com
Babi Society;Abidjan;01510413;01510413;cheickbambay@gmail.com;http://babisociety.com
